"variables","order","R2","R2Cum","AdjR2Cum","F","pvalue","site","trait","env"
"elev_mean",5,0.457931101278888,0.457931101278888,0.45685556774968,425.77110693691,0.001,"TRCP","func","topo"
"sin_aspect",3,0.206189387836663,0.664120489115551,0.662784984102094,308.781151338289,0.001,"TRCP","func","topo"
"cos_aspect",2,0.0587263035228818,0.722846792638433,0.721190498570535,106.369342246244,0.001,"TRCP","func","topo"
"convexity",4,0.0250885305366184,0.747935323175052,0.745922830745311,49.8655898841982,0.001,"TRCP","func","topo"
"slope",6,0.00825817954974195,0.756193502724793,0.753755437752041,16.9359300142444,0.001,"TRCP","func","topo"
"aspect",1,0.00233349793188087,0.758527000656674,0.755623517698638,4.8221352746482,0.023,"TRCP","func","topo"
"MEM8",8,0.133423652300448,0.133423652300448,0.131704254785171,77.5990724163407,0.001,"TRCP","func","topo"
"MEM6",6,0.10714614453143,0.240569796831878,0.237550193638367,70.9670361732747,0.001,"TRCP","func","topo"
"MEM2",2,0.0731092444778602,0.313679041309738,0.30957752163629,53.4747486043902,0.001,"TRCP","func","topo"
"MEM38",38,0.0532277300898508,0.366906771399589,0.361852134843897,42.1219049111749,0.001,"TRCP","func","topo"
"MEM7",7,0.0485923325587791,0.415499103958368,0.409654094997952,41.5673721698778,0.001,"TRCP","func","topo"
"MEM3",3,0.0439020910129455,0.459401194971314,0.452901008938905,40.5238472813445,0.001,"TRCP","func","topo"
"MEM16",16,0.0318324007090779,0.491233595680392,0.484082260679915,31.1587703482917,0.001,"TRCP","func","topo"
"MEM22",22,0.0277537888076885,0.51898738448808,0.51124472669312,28.6762396506821,0.001,"TRCP","func","topo"
"MEM41",41,0.0275209727651539,0.546508357253234,0.538279678251781,30.1006704530139,0.001,"TRCP","func","topo"
"MEM44",44,0.0267362794366051,0.573244636689839,0.564623316218927,31.0118148685125,0.001,"TRCP","func","topo"
"MEM14",14,0.0231182463647506,0.59636288305459,0.587375012029489,28.2937649307691,0.001,"TRCP","func","topo"
"MEM13",13,0.0229886503432086,0.619351533397798,0.61008625632026,29.773940035455,0.001,"TRCP","func","topo"
"MEM12",12,0.0179697456902103,0.637321279088009,0.627738304754968,24.3772638696629,0.001,"TRCP","func","topo"
"MEM43",43,0.0127357640241417,0.65005704311215,0.640079036194778,17.8693698866402,0.001,"TRCP","func","topo"
"MEM10",10,0.0119409612842124,0.661998004396363,0.651651004530945,17.3107588279609,0.002,"TRCP","func","topo"
"MEM4",4,0.0102315988215792,0.672229603217942,0.661505009458202,15.2645018368727,0.001,"TRCP","func","topo"
"MEM18",18,0.00985672690462946,0.682086330122571,0.671011468671923,15.1301538285966,0.001,"TRCP","func","topo"
"MEM72",72,0.00960740892278455,0.691693739045356,0.680298435765718,15.1758453782565,0.002,"TRCP","func","topo"
"MEM1",1,0.00937109913105305,0.701064838176409,0.689378072590713,15.2352575384873,0.002,"TRCP","func","topo"
"MEM58",58,0.0090775670385187,0.710142405214928,0.698189514708327,15.1889068732047,0.001,"TRCP","func","topo"
"MEM20",20,0.0074379854051243,0.717580390620052,0.705326647237864,12.7469368858059,0.001,"TRCP","func","topo"
"MEM28",28,0.00739312479603615,0.724973515416088,0.712446429161748,12.9837651158864,0.001,"TRCP","func","topo"
"MEM23",23,0.00682391846287567,0.731797433878964,0.718999386118001,12.2635989158349,0.001,"TRCP","func","topo"
"MEM32",32,0.00675411740931986,0.738551551288284,0.725506306446119,12.4258930962908,0.002,"TRCP","func","topo"
"MEM47",47,0.00598486083822269,0.744536412126506,0.731231016924762,11.24517676378,0.003,"TRCP","func","topo"
"MEM89",89,0.00567740282955831,0.750213814956065,0.736655483408795,10.8872152192088,0.004,"TRCP","func","topo"
"MEM40",40,0.00541437444667059,0.755628189402735,0.741824760770672,10.5907100298643,0.002,"TRCP","func","topo"
"MEM87",87,0.0052837681000375,0.760911957502773,0.746877439284906,10.5415451036081,0.004,"TRCP","func","topo"
"MEM66",66,0.00462864413884589,0.765540601641619,0.751256310565163,9.39708378302202,0.005,"TRCP","func","topo"
"MEM127",127,0.00424045114187488,0.769781052783493,0.755240908748767,8.74912476468031,0.004,"TRCP","func","topo"
"MEM29",29,0.00417264231422243,0.773953695097716,0.759170076000731,8.74967833602241,0.001,"TRCP","func","topo"
"MEM15",15,0.00415545770592562,0.778109152803641,0.763097509864353,8.85810081730616,0.008,"TRCP","func","topo"
"MEM69",69,0.00410920144814542,0.782218354251787,0.766992095121086,8.90590700084537,0.001,"TRCP","func","topo"
"MEM25",25,0.00407473454083052,0.786293088792617,0.770866262930513,8.98052364281644,0.004,"TRCP","func","topo"
"MEM50",50,0.00373529280136431,0.790028381593982,0.774392197244597,8.36107103411699,0.008,"TRCP","func","topo"
"MEM109",109,0.00368945350586047,0.793717835099842,0.777883809649084,8.38828550731018,0.004,"TRCP","func","topo"
"MEM5",5,0.00368150742899742,0.79739934252884,0.781381769181761,8.50414553573721,0.006,"TRCP","func","topo"
"MEM138",138,0.00358030926083486,0.800979651789674,0.784785276560569,8.40117324607882,0.01,"TRCP","func","topo"
"MEM68",68,0.00355088382497981,0.804530535614654,0.788171503187554,8.46532151527523,0.004,"TRCP","func","topo"
"MEM91",91,0.00350086775563441,0.808031403370289,0.791517975703217,8.48005108622045,0.003,"TRCP","func","topo"
"MEM30",30,0.00349690579553286,0.811528309165822,0.794874560622284,8.60906103163691,0.005,"TRCP","func","topo"
"MEM74",74,0.00345732888777495,0.814985638053596,0.79820247779064,8.65199467868076,0.004,"TRCP","func","topo"
"MEM34",34,0.00335298515340587,0.818338623207002,0.801430746146182,8.52728944490321,0.006,"TRCP","func","topo"
"MEM111",111,0.00333420324644973,0.821672826453452,0.804652445464194,8.61936891638173,0.006,"TRCP","func","topo"
"MEM9",9,0.0032351873059403,0.824908013759392,0.807779449888029,8.49945330272001,0.005,"TRCP","func","topo"
"MEM188",188,0.00293779450492249,0.827845808264315,0.810592882730891,7.83279026879429,0.005,"TRCP","func","topo"
"MEM24",24,0.00290956013642951,0.830755368400744,0.813387469524838,7.87368278622893,0.006,"TRCP","func","topo"
"MEM17",17,0.00289666161995095,0.833652030020695,0.816180033173854,7.95786302942124,0.004,"TRCP","func","topo"
"MEM187",187,0.00267787889346427,0.83632990891416,0.818742552635199,7.46081808422326,0.005,"TRCP","func","topo"
"MEM52",52,0.00266792340900712,0.838997832323167,0.821305286424614,7.53968203418736,0.005,"TRCP","func","topo"
"MEM65",65,0.00264342869707057,0.841641261020237,0.823852063469647,7.57846795321733,0.004,"TRCP","func","topo"
"MEM49",49,0.0026120433951603,0.844253304415398,0.826375096533721,7.59730826754437,0.006,"TRCP","func","topo"
"MEM63",63,0.00257585268139826,0.846829157096796,0.828868859145756,7.60122089768599,0.006,"TRCP","func","topo"
"MEM171",171,0.00249646410172621,0.849325621198522,0.83128478648615,7.47244036334782,0.007,"TRCP","func","topo"
"MEM128",128,0.00248316083763467,0.851808782036157,0.833696522062798,7.54040888717331,0.006,"TRCP","func","topo"
"MEM60",60,0.00244940177880848,0.854258183814965,0.836081030794115,7.5460936845244,0.01,"TRCP","func","topo"
"MEM83",83,0.00236497491220089,0.856623158727166,0.838381015975935,7.38967849521698,0.003,"TRCP","func","topo"
"MEM129",129,0.00235940458700534,0.858982563314171,0.840684998822498,7.47888966909136,0.004,"TRCP","func","topo"
"MEM56",56,0.00232291862751677,0.861305481941688,0.842958000853257,7.46981007163456,0.006,"TRCP","func","topo"
"MEM64",64,0.00231753165610893,0.863623013597797,0.845235105318848,7.56213796898958,0.008,"TRCP","func","topo"
"MEM78",78,0.00222041331389533,0.865843426911692,0.847412005834245,7.34860386393882,0.012,"TRCP","func","topo"
"MEM193",193,0.00208116054182517,0.867924587453518,0.849439992469586,6.98051289223933,0.014,"TRCP","func","topo"
"MEM27",27,0.00207972604783624,0.870004313501354,0.851475516556977,7.0713031939963,0.01,"TRCP","func","topo"
"MEM118",118,0.00201618791950475,0.872020501420859,0.853447512964929,6.94751020572065,0.009,"TRCP","func","topo"
"MEM77",77,0.00199386391981848,0.874014365340677,0.855402851129641,6.96349331487225,0.006,"TRCP","func","topo"
"MEM103",103,0.00197175006402139,0.875986115404699,0.857341658950735,6.9798497235219,0.008,"TRCP","func","topo"
"MEM71",71,0.00185474844948008,0.877840863854179,0.85915442065379,6.65017653614166,0.013,"TRCP","func","topo"
"MEM182",182,0.00184925205271613,0.879690115906895,0.860969127077762,6.71701376099374,0.012,"TRCP","func","topo"
"MEM110",110,0.00184856562624969,0.881538681533144,0.862791362784949,6.8036944335578,0.009,"TRCP","func","topo"
"MEM203",203,0.00182288162645083,0.883361563159595,0.864592159530105,6.79838935591278,0.011,"TRCP","func","topo"
"MEM59",59,0.00178098300380181,0.885142546163397,0.866352501872156,6.72961656236593,0.01,"TRCP","func","topo"
"MEM35",35,0.00172607625145915,0.886868622414856,0.868056938382223,6.60639897467278,0.011,"TRCP","func","topo"
"MEM21",21,0.00172116173959203,0.888589784154448,0.869763520828695,6.67391105798169,0.009,"TRCP","func","topo"
"MEM124",124,0.00170802525474245,0.890297809409191,0.871462630514249,6.71052128338876,0.009,"TRCP","func","topo"
"MEM48",48,0.00157945175040375,0.891877261159594,0.873018643919989,6.28141924591913,0.016,"TRCP","func","topo"
"MEM37",37,0.0015339673988547,0.893411228558449,0.87452836928209,6.17393375689226,0.01,"TRCP","func","topo"
"MEM94",94,0.00152438279933287,0.894935611357782,0.876033840503925,6.20986660224375,0.014,"TRCP","func","topo"
"MEM164",164,0.0014501232302303,0.896385734588012,0.877458538564277,5.97603637729116,0.011,"TRCP","func","topo"
"MEM151",151,0.0013780970275602,0.897763831615572,0.87880454217339,5.7422861499773,0.016,"TRCP","func","topo"
"MEM88",88,0.00136031588905727,0.89912414750463,0.880135751740795,5.73114614199543,0.012,"TRCP","func","topo"
"MEM114",114,0.00135289312238362,0.900477040627013,0.8814643998034,5.76376232685014,0.013,"TRCP","func","topo"
"MEM156",156,0.00133474127446453,0.901811781901478,0.882777659244081,5.75013550538195,0.023,"TRCP","func","topo"
"MEM42",42,0.00130987648978664,0.903121658391265,0.884067387411347,5.7057941900207,0.013,"TRCP","func","topo"
"MEM233",233,0.00127243802734089,0.904394096418605,0.885318334183838,5.60317291551404,0.02,"TRCP","func","topo"
"MEM108",108,0.00120745666729705,0.905601553085903,0.886497105496145,5.37224728629539,0.024,"TRCP","func","topo"
"MEM167",167,0.00118641838617561,0.906787971472078,0.887656147000953,5.3331025153977,0.033,"TRCP","func","topo"
"MEM172",172,0.00116466555073447,0.907952637022813,0.888794453819427,5.28890980100822,0.033,"TRCP","func","topo"
"MEM195",195,0.00115039901626257,0.909103036039075,0.889920942925019,5.27758429849994,0.027,"TRCP","func","topo"
"MEM141",141,0.00110841777910908,0.910211453818184,0.891001885043709,5.13541888935008,0.023,"TRCP","func","topo"
"MEM163",163,0.00104885822606793,0.911260312044252,0.892015560439391,4.90509008816045,0.032,"TRCP","func","topo"
"MEM39",39,0.00101172999620114,0.912272042040453,0.892988843551761,4.77448954893508,0.029,"TRCP","func","topo"
"MEM102",102,0.00100182797031778,0.913273870010771,0.893954732095495,4.77082226305533,0.034,"TRCP","func","topo"
"pHCaCl2",13,0.524074817638545,0.524074817638545,0.523130521641796,554.989981364807,0.001,"TRCP","func","soil"
"NH4",10,0.0507018992136803,0.574776716852225,0.573085968211479,59.9756794023395,0.001,"TRCP","func","soil"
"K",6,0.0395731524800274,0.614349869332252,0.612045187276469,51.5122930480447,0.001,"TRCP","func","soil"
"Ca",3,0.0301233036650284,0.644473172997281,0.641634635456341,42.4490474134144,0.001,"TRCP","func","soil"
"BS",2,0.0145947401354034,0.659067913132684,0.655658592264011,21.4041750506801,0.001,"TRCP","func","soil"
"P",12,0.0103294459688059,0.66939735910149,0.665422177046598,15.5909024937779,0.001,"TRCP","func","soil"
"Fe",5,0.00422545560153176,0.673622814703022,0.66903518358439,6.44737740368735,0.013,"TRCP","func","soil"
"TEB",14,0.00295765904300582,0.676580473746028,0.671374525637312,4.54504575342052,0.031,"TRCP","func","soil"
"Mg",7,0.0168087118780782,0.693389185624106,0.687825682943898,27.191216684568,0.001,"TRCP","func","soil"
"ECEC",4,0.00174634509756033,0.695135530721666,0.688976652554427,2.83549219539634,0.093,"TRCP","func","soil"
"TotN",11,0.00126385118165617,0.696399381903322,0.689639044253396,2.05645985720403,0.157,"TRCP","func","soil"
"MEM8",8,0.133423652300448,0.133423652300448,0.131704254785171,77.5990724163407,0.001,"TRCP","func","soil"
"MEM6",6,0.10714614453143,0.240569796831878,0.237550193638367,70.9670361732747,0.001,"TRCP","func","soil"
"MEM2",2,0.0731092444778602,0.313679041309738,0.30957752163629,53.4747486043902,0.001,"TRCP","func","soil"
"MEM38",38,0.0532277300898508,0.366906771399589,0.361852134843897,42.1219049111749,0.001,"TRCP","func","soil"
"MEM7",7,0.0485923325587791,0.415499103958368,0.409654094997952,41.5673721698778,0.001,"TRCP","func","soil"
"MEM3",3,0.0439020910129455,0.459401194971314,0.452901008938905,40.5238472813445,0.001,"TRCP","func","soil"
"MEM16",16,0.0318324007090779,0.491233595680392,0.484082260679915,31.1587703482917,0.001,"TRCP","func","soil"
"MEM22",22,0.0277537888076885,0.51898738448808,0.51124472669312,28.6762396506821,0.001,"TRCP","func","soil"
"MEM41",41,0.0275209727651539,0.546508357253234,0.538279678251781,30.1006704530139,0.001,"TRCP","func","soil"
"MEM44",44,0.0267362794366051,0.573244636689839,0.564623316218927,31.0118148685125,0.001,"TRCP","func","soil"
"MEM14",14,0.0231182463647506,0.59636288305459,0.587375012029489,28.2937649307691,0.001,"TRCP","func","soil"
"MEM13",13,0.0229886503432086,0.619351533397798,0.61008625632026,29.773940035455,0.001,"TRCP","func","soil"
"MEM12",12,0.0179697456902103,0.637321279088009,0.627738304754968,24.3772638696629,0.001,"TRCP","func","soil"
"MEM43",43,0.0127357640241417,0.65005704311215,0.640079036194778,17.8693698866402,0.001,"TRCP","func","soil"
"MEM10",10,0.0119409612842124,0.661998004396363,0.651651004530945,17.3107588279609,0.001,"TRCP","func","soil"
"MEM4",4,0.0102315988215792,0.672229603217942,0.661505009458202,15.2645018368727,0.001,"TRCP","func","soil"
"MEM18",18,0.00985672690462946,0.682086330122571,0.671011468671923,15.1301538285966,0.001,"TRCP","func","soil"
"MEM72",72,0.00960740892278455,0.691693739045356,0.680298435765718,15.1758453782565,0.001,"TRCP","func","soil"
"MEM1",1,0.00937109913105305,0.701064838176409,0.689378072590713,15.2352575384873,0.001,"TRCP","func","soil"
"MEM58",58,0.0090775670385187,0.710142405214928,0.698189514708327,15.1889068732047,0.001,"TRCP","func","soil"
"MEM20",20,0.0074379854051243,0.717580390620052,0.705326647237864,12.7469368858059,0.001,"TRCP","func","soil"
"MEM28",28,0.00739312479603615,0.724973515416088,0.712446429161748,12.9837651158864,0.002,"TRCP","func","soil"
"MEM23",23,0.00682391846287567,0.731797433878964,0.718999386118001,12.2635989158349,0.001,"TRCP","func","soil"
"MEM32",32,0.00675411740931986,0.738551551288284,0.725506306446119,12.4258930962908,0.002,"TRCP","func","soil"
"MEM47",47,0.00598486083822269,0.744536412126506,0.731231016924762,11.24517676378,0.001,"TRCP","func","soil"
"MEM89",89,0.00567740282955831,0.750213814956065,0.736655483408795,10.8872152192088,0.003,"TRCP","func","soil"
"MEM40",40,0.00541437444667059,0.755628189402735,0.741824760770672,10.5907100298643,0.004,"TRCP","func","soil"
"MEM87",87,0.0052837681000375,0.760911957502773,0.746877439284906,10.5415451036081,0.001,"TRCP","func","soil"
"MEM66",66,0.00462864413884589,0.765540601641619,0.751256310565163,9.39708378302202,0.002,"TRCP","func","soil"
"MEM127",127,0.00424045114187488,0.769781052783493,0.755240908748767,8.74912476468031,0.003,"TRCP","func","soil"
"MEM29",29,0.00417264231422243,0.773953695097716,0.759170076000731,8.74967833602241,0.007,"TRCP","func","soil"
"MEM15",15,0.00415545770592562,0.778109152803641,0.763097509864353,8.85810081730616,0.005,"TRCP","func","soil"
"MEM69",69,0.00410920144814542,0.782218354251787,0.766992095121086,8.90590700084537,0.004,"TRCP","func","soil"
"MEM25",25,0.00407473454083052,0.786293088792617,0.770866262930513,8.98052364281644,0.001,"TRCP","func","soil"
"MEM50",50,0.00373529280136431,0.790028381593982,0.774392197244597,8.36107103411699,0.007,"TRCP","func","soil"
"MEM109",109,0.00368945350586047,0.793717835099842,0.777883809649084,8.38828550731018,0.003,"TRCP","func","soil"
"MEM5",5,0.00368150742899742,0.79739934252884,0.781381769181761,8.50414553573721,0.006,"TRCP","func","soil"
"MEM138",138,0.00358030926083486,0.800979651789674,0.784785276560569,8.40117324607882,0.007,"TRCP","func","soil"
"MEM68",68,0.00355088382497981,0.804530535614654,0.788171503187554,8.46532151527523,0.005,"TRCP","func","soil"
"MEM91",91,0.00350086775563441,0.808031403370289,0.791517975703217,8.48005108622045,0.005,"TRCP","func","soil"
"MEM30",30,0.00349690579553286,0.811528309165822,0.794874560622284,8.60906103163691,0.006,"TRCP","func","soil"
"MEM74",74,0.00345732888777495,0.814985638053596,0.79820247779064,8.65199467868076,0.002,"TRCP","func","soil"
"MEM34",34,0.00335298515340587,0.818338623207002,0.801430746146182,8.52728944490321,0.006,"TRCP","func","soil"
"MEM111",111,0.00333420324644973,0.821672826453452,0.804652445464194,8.61936891638173,0.005,"TRCP","func","soil"
"MEM9",9,0.0032351873059403,0.824908013759392,0.807779449888029,8.49945330272001,0.004,"TRCP","func","soil"
"MEM188",188,0.00293779450492249,0.827845808264315,0.810592882730891,7.83279026879429,0.009,"TRCP","func","soil"
"MEM24",24,0.00290956013642951,0.830755368400744,0.813387469524838,7.87368278622893,0.004,"TRCP","func","soil"
"MEM17",17,0.00289666161995095,0.833652030020695,0.816180033173854,7.95786302942124,0.004,"TRCP","func","soil"
"MEM187",187,0.00267787889346427,0.83632990891416,0.818742552635199,7.46081808422326,0.008,"TRCP","func","soil"
"MEM52",52,0.00266792340900712,0.838997832323167,0.821305286424614,7.53968203418736,0.009,"TRCP","func","soil"
"MEM65",65,0.00264342869707057,0.841641261020237,0.823852063469647,7.57846795321733,0.005,"TRCP","func","soil"
"MEM49",49,0.0026120433951603,0.844253304415398,0.826375096533721,7.59730826754437,0.007,"TRCP","func","soil"
"MEM63",63,0.00257585268139826,0.846829157096796,0.828868859145756,7.60122089768599,0.006,"TRCP","func","soil"
"MEM171",171,0.00249646410172621,0.849325621198522,0.83128478648615,7.47244036334782,0.005,"TRCP","func","soil"
"MEM128",128,0.00248316083763467,0.851808782036157,0.833696522062798,7.54040888717331,0.007,"TRCP","func","soil"
"MEM60",60,0.00244940177880848,0.854258183814965,0.836081030794115,7.5460936845244,0.007,"TRCP","func","soil"
"MEM83",83,0.00236497491220089,0.856623158727166,0.838381015975935,7.38967849521698,0.009,"TRCP","func","soil"
"MEM129",129,0.00235940458700534,0.858982563314171,0.840684998822498,7.47888966909136,0.005,"TRCP","func","soil"
"MEM56",56,0.00232291862751677,0.861305481941688,0.842958000853257,7.46981007163456,0.005,"TRCP","func","soil"
"MEM64",64,0.00231753165610893,0.863623013597797,0.845235105318848,7.56213796898958,0.003,"TRCP","func","soil"
"MEM78",78,0.00222041331389533,0.865843426911692,0.847412005834245,7.34860386393882,0.004,"TRCP","func","soil"
"MEM193",193,0.00208116054182517,0.867924587453518,0.849439992469586,6.98051289223933,0.008,"TRCP","func","soil"
"MEM27",27,0.00207972604783624,0.870004313501354,0.851475516556977,7.0713031939963,0.005,"TRCP","func","soil"
"MEM118",118,0.00201618791950475,0.872020501420859,0.853447512964929,6.94751020572065,0.008,"TRCP","func","soil"
"MEM77",77,0.00199386391981848,0.874014365340677,0.855402851129641,6.96349331487225,0.007,"TRCP","func","soil"
"MEM103",103,0.00197175006402139,0.875986115404699,0.857341658950735,6.9798497235219,0.014,"TRCP","func","soil"
"MEM71",71,0.00185474844948008,0.877840863854179,0.85915442065379,6.65017653614166,0.011,"TRCP","func","soil"
"MEM182",182,0.00184925205271613,0.879690115906895,0.860969127077762,6.71701376099374,0.013,"TRCP","func","soil"
"MEM110",110,0.00184856562624969,0.881538681533144,0.862791362784949,6.8036944335578,0.014,"TRCP","func","soil"
"MEM203",203,0.00182288162645083,0.883361563159595,0.864592159530105,6.79838935591278,0.012,"TRCP","func","soil"
"MEM59",59,0.00178098300380181,0.885142546163397,0.866352501872156,6.72961656236593,0.007,"TRCP","func","soil"
"MEM35",35,0.00172607625145915,0.886868622414856,0.868056938382223,6.60639897467278,0.015,"TRCP","func","soil"
"MEM21",21,0.00172116173959203,0.888589784154448,0.869763520828695,6.67391105798169,0.013,"TRCP","func","soil"
"MEM124",124,0.00170802525474245,0.890297809409191,0.871462630514249,6.71052128338876,0.015,"TRCP","func","soil"
"MEM48",48,0.00157945175040375,0.891877261159594,0.873018643919989,6.28141924591913,0.015,"TRCP","func","soil"
"MEM37",37,0.0015339673988547,0.893411228558449,0.87452836928209,6.17393375689226,0.01,"TRCP","func","soil"
"MEM94",94,0.00152438279933287,0.894935611357782,0.876033840503925,6.20986660224375,0.013,"TRCP","func","soil"
"MEM164",164,0.0014501232302303,0.896385734588012,0.877458538564277,5.97603637729116,0.011,"TRCP","func","soil"
"MEM151",151,0.0013780970275602,0.897763831615572,0.87880454217339,5.7422861499773,0.02,"TRCP","func","soil"
"MEM88",88,0.00136031588905727,0.89912414750463,0.880135751740795,5.73114614199543,0.015,"TRCP","func","soil"
"MEM114",114,0.00135289312238362,0.900477040627013,0.8814643998034,5.76376232685014,0.02,"TRCP","func","soil"
"MEM156",156,0.00133474127446453,0.901811781901478,0.882777659244081,5.75013550538195,0.014,"TRCP","func","soil"
"MEM42",42,0.00130987648978664,0.903121658391265,0.884067387411347,5.7057941900207,0.018,"TRCP","func","soil"
"MEM233",233,0.00127243802734089,0.904394096418605,0.885318334183838,5.60317291551404,0.019,"TRCP","func","soil"
"MEM108",108,0.00120745666729705,0.905601553085903,0.886497105496145,5.37224728629539,0.022,"TRCP","func","soil"
"MEM167",167,0.00118641838617561,0.906787971472078,0.887656147000953,5.3331025153977,0.025,"TRCP","func","soil"
"MEM172",172,0.00116466555073447,0.907952637022813,0.888794453819427,5.28890980100822,0.025,"TRCP","func","soil"
"MEM195",195,0.00115039901626257,0.909103036039075,0.889920942925019,5.27758429849994,0.02,"TRCP","func","soil"
"MEM141",141,0.00110841777910908,0.910211453818184,0.891001885043709,5.13541888935008,0.019,"TRCP","func","soil"
"MEM163",163,0.00104885822606793,0.911260312044252,0.892015560439391,4.90509008816045,0.026,"TRCP","func","soil"
"MEM39",39,0.00101172999620114,0.912272042040453,0.892988843551761,4.77448954893508,0.029,"TRCP","func","soil"
"MEM102",102,0.00100182797031778,0.913273870010771,0.893954732095495,4.77082226305533,0.03,"TRCP","func","soil"
"elev_mean",5,0.263689792580555,0.263689792580555,0.262228859629326,180.494109848585,0.001,"TRCP","meta","topo"
"cos_aspect",2,0.0343601193530551,0.29804991193361,0.295258857905513,24.6216081861251,0.001,"TRCP","meta","topo"
